Date,Text,Hashtag
2021-02-01,['                   '],"['#ม็อบ1กุมภา', '#ARMYSeIcaDay', '#กุมภากุมใจเข้มมุก', '#Corona', '#กาละแมร์', '#ของดีบอกต่อ', '#ของดีต้องบอกต่อ', '#คนละครึ่ง', '#ดูดวง', '#ดูดวงความรัก', '#ดีเจมะตูมติดโควิด', '#บุพเพสันนิวาส2', '#ลดน้ําหนัก', '#ฟิลเตอร์ไอจี', '#หมีมาเยือน', '#ส่งต่อเสื้อผ้า', '#วาเลนไทน์', '#พรีออเดอร์เกาหลี', '#จีบดิ']"
2021-02-01,"['ตอน', 'คนละ', 'ครึ่ง', 'น้ำมัน', 'ขวด', ' ', '2835', ' ', 'บาท', ' ', 'โครงการ', 'คนละ', 'ครึ่ง', 'น้ำมัน', 'ขวด', ' ', '4753', ' ', 'บาท', 'ของขึ้น', 'เนียน', 'เจ้าสัว', 'เหมือนเดิม', '  ']",['#คนละครึ่ง']
2021-02-01,"['เติม', 'เงิน', 'คนละ', 'ครึ่ง', 'ตอน', 'จ่าย', 'ตัด', 'เลิ่ก', 'ลัก', 'ชิบหาย', ' ']",['#คนละครึ่ง']
2021-02-01,"['เงิน', ' ', 'สิริ', 'เวลา', ' ', '50', ' ', 'นาที', '   ']",['#คนละครึ่ง']
2021-02-01,"['scb', 'ล่ม', 'เปล่า', ' ', 'ตัด', 'เงิน', 'เงิน', 'เป๋า', 'ตัง', 'อะ', ' ']",['#คนละครึ่ง']
2021-02-01,"['รีวิว', ' ', 'ทุน', ' ', '1000', ' ', 'ถอน', 'เบา', ' ', '4000', ' ', 'ของจริง', 'จก', 'ตา', ' ', 'ลูกค้า', '1264', '          ']","['#รีวิว', '#ประภัสสร', '#ปั่นบาคาร่า', '#ปั่นบาคาร่าฟรี', '#ส่งงานไว', '#งานด่วน', '#กุมภาพันธ์', '#เดือนแห่งความรัก', '#คนละครึ่ง']"
2021-02-01,"['อี', 'สัสส', ' ', 'เงินสด', 'สิ', '  ']",['#คนละครึ่ง']
2021-02-01,"['ข่าวดี', ' ', 'ปลูก', 'กัญชา', ' ', 'ขาย', ' ', 'สร้าง', 'รายได้', 'ประชาชน', ' ', 'วิสาหกิจ', 'ชุมชน', '       ']","['#เบี้ยคนชรา', '#รัฐประหาร', '#คนละครึ่ง', '#ตลาดนัดnct', '#ของดีบอกต่อ', '#ม็อบ1กุมภา', '#ฝากกดติดตาม', '#ฝากรีทวิตให้ด้วย']"
2021-02-01,"['  ', 'เป๋า', 'ตัง', '1', 'ทุ่ม', '  ', '   ', 'จ่าย', 'เต', 'ม']","['#scbล่ม', '#คนละครึ่ง']"
2021-02-01,"['เติม', 'เงิน', 'scb', ' ', 'คนละ', 'ครึ่ง', 'โดน', 'หัก', 'เช็ค', 'ยอดเงิน', 'คนละ', 'ครึ่ง', ' ', 'งง', 'ย', '  ']","['#คนละครึ่ง', '#SCB']"
2021-02-01,"['ส่งต่อ', '  ', '300', ' ', 'โอน', 'ลด', 'งับ', ' ', 'เค้า', ' ', '2', ' ', ' ', 'ลอง', 'สนใจ', ' ', 'DM', ' ', 'นะคะ', '           ']","['#เจลลี่มาร์ก', '#เจลลี่มาร์ค', '#เจลลี่มาส์ก', '#Jellymask', '#ส่งต่อคสอ', '#ส่งต่อสกินเเคร์', '#หน้าใส', '#รักษาสิว', '#คนละครึ่ง', '#ของดีบอกต่อ']"
2021-02-01,"['ตอนนี้', 'เงิน', ' ', 'เติม', 'สอง', 'รอบ', ' ', 'รอบ', 'เติม', '150', ' ', 'รอบ', 'สอง', 'เติม', '50', ' ', 'เข้ามา', '150', ' ']",['#คนละครึ่ง']
2021-02-01,"['เติม', 'เงิน', 'วอ', 'เลท', 'เงิน', 'ไหม', '\u200b', ' ', 'ทำ', '\u200b', ' ']",['#คนละครึ่ง']
2021-02-01,"['  ', 'รีวิว', 'อีกแล้ว', ' ', 'ร้าน', 'ดี', 'ร้าน', 'ปัง', 'ง', ' ', '  ']","['#รีวิวให้ร้านมี่มี่', '#แลกคนละครึ่ง', '#คนละครึ่ง']"
2021-02-01,"['เ', '   ', 'เติม', 'เงิน', 'วอ', 'ลเล็ต', ' ', '2', ' ', 'รอบ', ' ', 'เวลานี้']",['#คนละครึ่ง']
2021-02-01,"['  ', '  ', 'เติม', 'เป๋า', 'ตัง', 'จ่าย', 'ค่า', 'ส้มตำ', ' ', 'อด', '  ', ' ', 'จ่าย', 'เต็ม', ' ', 'ตัง']","['#scbล่ม', '#คนละครึ่ง']"
2021-02-01,"['ลงทะเบียน', 'โครงการ', 'ชนะ', '8', 'ล้าน', 'คน', '    ', '  ']","['#คนละครึ่ง', '#เราชนะ', '#โครงการเราชนะ']"
2021-02-01,"['เติม', 'เงิน', 'แอพ', 'อะ', ' ', 'ล่ม', 'ปะ', '  ']","['#คนละครึ่ง', '#คนละครึ่งล่ม']"
2021-02-01,"['กะบับ', 'ไก่', 'ชีส', 'พัทยา', 'ตำนาน', ' ', 'สาย', 'ชีส', ' ', 'สาย', 'เผ็ด', 'ห้าม', 'พลาด', ' ', 'ชีส', 'เยิ้ม', 'ม', ' ', 'เครื่อง', 'แน่น', 'แน่น', ' ', 'ไส้', 'จุ', 'กก', ' ', 'ซอส', 'เผ็ด', 'เด็ด', ' ', 'แซ่บ', ' ', 'แสบ', 'ปากมาก', 'แม่', ' ', 'ดีมาก', ' ', 'อร่อย', 'ตำ', ' ', 'ร้าน', '  ', ' ', 'ดี', 'พิกัด', '  ', 'ตรงข้าม', ' ', 'มหาลัย', 'บ', 'รู', ' ', 'ร้าน', 'ทอง', 'ชิน', ' ', '2', ' ', 'ร้าน', 'สีชมพู', 'หวาน', 'แหวว', '  ']","['#คนละครึ่ง', '#อร่อยไปแดก']"
2021-02-01,['                 '],"['#สนับสนุนเลื่อนเปิดเทอม', '#รัฐประหาร', '#คนแรกที่คิดถึงตอนตื่นนอน', '#คนละครึ่ง', '#เมียนมาร์', '#OurPreciousDoyoungDay', '#เข้มมุก', '#SUGA', '#ตลาดนัดtreasure', '#ตลาดนัดบังทัน', '#ตลาดนัดstraykids', '#ตลาดนัดอซท', '#ส่งต่อ', '#พรีออเดอร์เกาหลี', '#พรีออเดอร์', '#พรีเกาหลี', '#พร้อมส่ง']"
2021-02-01,"['ปั่น', 'รอบ', 'ดึก', ' ', 'คืนนี้', '1', 'คิว', 'ทุน', '200', ' ', 'กำไร', '1000', '++', ' ', 'จก', 'ตา', 'สนใจ', 'ปั่น', 'ทัก', 'เรย', ' ', 'เซฟ', 'ทุน', '100', '          ']","['#ปั่นบาคาร่า', '#รับปั่นบาคาร่าฟรี', '#รับปั่นสล็อต', '#บาคาร่าออนไลน์', '#คนละครึ่งเฟส3', '#คนละครึ่ง', '#ออมเงินกินดอก', '#dtac', '#รีวิวบาคาร่า', '#ไซไลน์นครศรีฯ', '#รถไฟบีทีเอส']"
2021-02-01,"[' ', 'IN', '2', 'IT', ' ', 'BlurampMatte', ' ', 'แอ', 'ป', '  ', 'ใส่รหัส', 'คำเชิญ', '126217', 'คูปอง', 'แทน', 'เงินสด', '  ', '1', 'ตลับ', ' ', 'มีจำกัด', '         ']","['#ชี้เป้าของถูก', '#youpik', '#แลกฟรี', '#เครื่องสําอางเกาหลี', '#HowtoPerfect', '#รีวิวเซเว่น', '#รีวิววัตสัน', '#LazadaTH', '#ของดีบอกต่อ', '#คนละครึ่ง', '#โควิท19', '#โควิทวันนี้']"
2021-02-01,"['เออ', 'ชิบหาย', 'ย', ' ', 'สวัสดิการ', ' ', 'เสียภาษี', ' ', 'อีดอก', 'กก', ' ', 'แย่ง', 'ขนาด', '  ', 'หรอ', 'วะ', ' ', 'I', ' ', ' ', '      ']","['#รัฐบาลส้นตีน', '#ไทยชนะ', '#คนละครึ่ง', '#บัตรสวัสดิการแห่งรัฐ', '#รัฐบาลเฮงซวย']"
2021-02-01,"['สิทธิ์', 'คน', 'จอง', 'กด', 'แอด', 'ไลน์', 'คุย', '             ']","['#Lazada1111TH', '#คําคมแม่ค้าออนไลน์', '#คนละครึ่ง', '#โปร1111', '#Lazada1111', '#แคปชั่นแม่ค้าออนไลน์', '#แม่ค้าออนไลน์', '#คําคมชีวิต', '#คมคม', '#รีวิวเซเว่น', '#รีวิว', '#ใช้ดีบอกต่อ']"
2021-02-01,"['สอบถาม', 'เเม่', 'ลงทะเบียน', 'กรอง', 'นามสกุล', 'เเต่', 'ลอง', 'ลงทะเบียน', 'เเล้ว', 'เหรอ', 'ตอบ', '    ']","['#เราชนะ', '#เราเที่ยวด้วยกัน', '#คนละครึ่ง']"
2021-02-01,['                   '],"['#บุพเพสันนิวาส2', '#ตรวจหวย', '#กุมภากุมใจเข้มมุก', '#ไม่ใช่ไม่รู้สึก', '#แบมแบมของขลัง', '#พาเนเน่ตะลุยซุปเปอร์โนว่า', '#คนละครึ่ง', '#งานตอบแชท', '#งานพาร์ทไทม์', '#งานออนไลน์', '#งานออนไลน์รายได้ดี', '#รับงานบุรีรัมย์', '#รับงานลาดพร้าว', '#ไม่ใช่ไม่รู้สึก', '#รายได้เสริม', '#หางานทํา', '#ตกงาน', '#งานออนไลน์ไม่โกง', '#งานพิเศษ']"
2021-02-01,"['งาน', 'ออนไลน์', '                                ']","['#รับงานอุดรธานี', '#รับงานลําลูกกา', '#รับงานสะพานแดง', '#รับงานหัวหิน', '#ถูกกฎหมาย', '#รับงานบุรีรัมย์', '#รับงานปลวกแดง', '#รับทําการบ้าน', '#รับงานลาดพร้าว', '#CHAELISA', '#รับงานรังสิต', '#งานตอบแชท', '#งานพาร์ทไทม์', '#คนละครึ่ง', '#งานออนไลน์รายได้ดี', '#นักเรียนรับงาน', '#พระเอกคนเก่ง', '#หางาน']"
2021-02-01,"[' ', 'อห', ' ', 'แบ้', 'ง', ' ', 'อวสาน', '  ', 'จ่าย', 'เต็ม', 'จ', 'ร้า']",['#คนละครึ่ง']
2021-02-01,"['เติม', 'เงิน', 'โทรศัพท์', ' ', 'เครือข่าย', ' ', 'ค่าบริการ', ' ', 'อยากได้', 'ยอด', ' ', 'เติม', '101000', ' ', 'สนใจ', 'สิบ', 'ถาม', '            ']","['#รับเติมเงิน', '#วอลเลท', '#คนละครึ่ง', '#โอนเงิน', '#ส่งต่อสคอ', '#ส่งต่อสกินแคร์', '#ส่งต่อสกินแคร์มือสอง', '#ส่งต่อเครื่องสําอาง', '#ส่งต่อ', '#ส่งต่อคสอมือสอง', '#ไว้ขายของห้ามรีวิวโว้ย']"
2021-02-01,"['ตัวตน', 'ตู้', ' ', 'แอพ', 'สแกน', 'แบบนี้', ' ', 'ติดต่อ', 'ธนาคาร', '   ']",['#คนละครึ่ง']
2021-02-01,"[' ', 'Happy', ' ', 'Bath', ' ', 'Body', ' ', '250', ' ', 'ml', 'เหนียว', 'เหนอะหนะ', 'บำรุง', 'อาบน้ำ', ' ', 'พารา', 'แบน', ' ', 'แอลกอฮอล์', ' ', '2', ' ', 'กลิ่น', ' ', 'Apple', ' ', 'Vanila', ' ', 'กลิ่น', 'ฟรุต', 'ตี้', ' ', 'Milky', ' ', 'Powder', ' ', 'กลิ่น', 'แป้ง', 'เด็ก', ' ', 'ราคา', ' ', '185', ' ', 'บาท', '    ']","['#ยอนพรี', '#happybath', '#bathoil', '#คนละครึ่ง', '#คนละครึ่งออนไลน์']"
2021-02-01,"['โอเค', 'ระบบ', 'สิ', ' ', 'อี', 'เติม', 'เงิน', 'เนี้ย', 'โดน', 'แม่', 'ด่า', ' ', 'อห', 'หหหห', ' ']",['#คนละครึ่ง']
2021-02-01,"['โทษ', 'ฮะ', ' ', 'โหวต', '  ', 'โครงการ', '  ', 'ฮะ']","['#LODIXNEXTIDOL', '#คนละครึ่ง']"
2021-02-01,"['รู้', ' ', 'บช', 'กรุงไทย', 'ผูก', 'เป๋า', 'ตัง', 'โอน', 'เงิน', 'Gwallet', ' ', 'ปกติ', 'โอน', 'krungthai', ' ', ' ', '55555', ' ', 'แง้', 'ขอบคุณ', 'ตัวเอง', 'ผูก', 'บช', ' ', 'เงินสด', 'ติดตัว', ' ', 'อด', 'กินข้าว', '   ']","['#กรุงไทยล่ม', '#เป๋าตัง', '#คนละครึ่ง']"
2021-02-01,"['งง', 'เติม', 'เงิน', ' ', 'เติม', 'SCB', ' ']",['#คนละครึ่ง']
2021-02-01,"['อห', 'กุ', 'ฉาบ', ' ']",['#คนละครึ่ง']
2021-02-02,"['แปลกใจ', 'ยอด', 'สิทธิ์', 'คงเหลือ', 'คนละ', 'ครึ่ง', ' ', 'จำนวน', 'เงิน', ' ', 'G', ' ', 'wallet', ' ', 'เศษสตางค์', 'เป๊ะ', ' ', 'ตอนแรก', 'ระบบ', 'ยอด', 'สิทธ์', 'จำนวน', 'เงิน', ' ', 'ลอง', 'เติม', 'เงิน', 'ดู', 'ยอด', 'สิทธิ์', ' ', '2', ' ']",['#คนละครึ่ง']
2021-02-02,"['รู้สึก', 'ยอด', 'สิทธิ์', 'คนละ', 'ครึ่ง', 'คงเหลือ', 'ลดลง', 'ผิดปกติ', ' ', 'คนละ', 'ครึ่ง', 'เฟส', 'ลงทะเบียน', '2', ' ', 'เรื่อง', ' ', '31', ' ', 'มกรา', ' ', 'คนละ', 'ครึ่ง', ' ', 'หมดเวลา', ' ', 'ยอด', 'สิทธิ์', 'เหลือประมาณ', ' ', '200', ' ', ' ', 'ดู', 'อีกที', 'วันที่', ' ', '1', ' ', 'กุมภา', ' ', 'ยอด', 'ดัน', 'ลดลง', ' ', '100', ' ', ' ', '1', ' ']",['#คนละครึ่ง']
