Date,Text,Hashtag
2021-02-01,"['  ', 'ชอบ', 'ไหม', 'com', ' ', 'ช้อป', '1200', 'บาท', 'ใส่', 'SV', '24956', 'ส่วนลด', '5', ' ']","['#ดีเจมะตูม', '#ชี้เป้าถูก', '#kingpower']"
2021-02-01,"['ปั๊ม', 'วิว', ' ', 'ค่าสมัคร', ' ', 'เต้า', 'สนใจ', ' ', 'dm', '                ']","['#ดีเจมะตูม', '#งานออนไลน์ฟรี', '#งานออนไลน์รายได้ดี', '#งานออนไลน์ไม่จํากัดอายุ', '#งานออนไลน์ไม่โกง', '#หาเงินติ่ง', '#หาเงินเข้าwallet', '#ตลาดนัดnct', '#ตลาดนัดบังทัน', '#ตลาดนัดEXO', '#JUNGKOOK', '#HAPPYLUCASDAY', '#HappyJaehyunDay', '#HappyJungwonDay', '#HappyJunhoDay']"
2021-02-01,['                 '],"['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#50m2', '#ดีเจมะตูม', '#BTSV', '#VaathiComingVideoSong']"
2021-02-01,"['สาย', 'เท่', ' ', 'สาย', 'ลุย', 'เสื้อ', '+', 'กางเกง', ' ', '200', ' ', 'เสื้อ', '  ', 'อก', ' ', '3238', ' ', 'นิ้ว', ' ', 'กางเกง', '   ', 'เอว', ' ', '2332', ' ', 'นิ้ว', '  ', 'สพ', ' ', '38', ' ', 'นิ้ว', ' ', ' ', '37', ' ', 'นิ้ว', 'สนใจ', 'DM', 'ยน๊าา️', '        ']","['#เสื้อผ้าวินเทจ', '#เสื้อผ้าแฟชั่น', '#เสื้อผ้ามือสอง', '#เสื้อผ้าเกาหลี', '#บุพเพสันนิวาส2', '#รัฐประหาร', '#ดีเจมะตูม']"
2021-02-01,"['เสื้อ', 'ทุ', 'กลาย', ' ', '3', ' ', 'สี', ' ', 'ขาว', 'ครีม', 'กากี', ' ', 'เลือก', 'สี', 'ละลาย', ' ', 'คละ', 'สี', 'เสื้อ', ' ', 'คละ', 'ไซส์', ' ', 'คละ', 'ลาย', 'เสื้อ', 'ร้าน', ' ', 'จำกัด', 'ไซส์', 'จำนวน', 'การสั่งซื้อ', 'สินค้า', 'นะคะ', ' ', '100', ' ', '฿', 'รอบ', ' ', '310164', ' ', 'รอบ', ' ', '030264', '      ']","['#เสื้อผ้าเกาหลี', '#เสื้อผ้าสไตล์เกาหลี', '#เสื้อยืด', '#เสื้อผ้าแฟชั่น', '#เสื้อผ้า', '#ดีเจมะตูม']"
2021-02-01,"['ดัน', 'อันนี้', 'นะคะ', ' ', 'ัว', 'ระวัง', 'ตัวเอง', 'เจอ', 'คน', 'ใส่ใจ', ' ', 'เห็นแก่ตัว', 'ก้อ', 'แย่', 'อ่ะ', '   ']","['#แต้วณฐพร', '#ดีเจมะตูม']"
2021-02-01,"['เปิดเทอม', ' ', 'เรียนรู้', 'ปกป้อง', 'ปลอดภัย', 'หน้ากาก', 'อนามัย', 'ทางการแพทย์', ' ', 'รง', 'ไทย', ' ', 'Mind', ' ', 'maskSURELUCKY', ' ', 'เด็ก', 'ผู้ใหญ่', 'Let', ' ', ' ', 'care', ' ', 'Ketkham', '                   ']","['#โควิด19', '#โควิด', '#หน้ากากอนามัย', '#โควิดวันนี้', '#ดีเจมะตูม', '#เปิดเรียน', '#เปิดเทอม', '#รัฐประหาร']"
2021-02-01,"['มีทาง', 'หาย', ' ', 'ป่วย', ' ', 'หาย', 'แล้วไป', 'ล่องเรือ', 'ดี', '  ']",['#ดีเจมะตูม']
2021-02-01,"['โอน', 'ลด', 'น้า', ' ', 'ชุด', 'ฟี', 'ล', 'สาวน้อย', 'น่ารัก', 'ตัว', '        ']","['#ส่งต่อคสอ', '#เสื้อผ้ามือสองราคาถูก', '#ส่งต่อสกินแคร์', '#พรีออร์เดอร์เกาหลี', '#ลุงพล', '#ดีเจมะตูม', '#howtoperfect', '#เดรสเกาหลี']"
2021-02-01,"['ตาย', ' ', 'ร้องไห้', 'เสียใจ', ' ', 'สมน้ำหน้า', '  ']",['#ดีเจมะตูม']
2021-02-01,"[' ', '555', '+', '  ', 'ข่าว', 'ธีระ', 'กนก', 'หยิบ', 'อ่าน', 'ครับผม', ' ', 'ปั่น', ' ', 'ปลอม', ' ', 'รู', 'ปการ', 'รวมกลุ่ม', 'มั่วสุม', '  ', 'ปี', 'ใส่ร้าย', ' ', 'เหรอ', '  ', 'น่าขำ', ' ', '55555', '+', ' ', 'สำหรับ', 'สลิ่ม', ' ']","['#TopNewsโป๊ะแตก', '#ดีเจมะตูม', '#พลังแห่งความจริงคือที่สุดแห่งข่าวสาร']"
2021-02-01,"['ขนม', 'เปี๊ยะ', 'ลาวา', ' ', 'พุธ', ' ', '◡̈︎️', 'Best', ' ', 'seller', ' ', 'ลูก', 'ฝ่ามือ', ' ', 'ลูก', 'อิ่ม', 'คุ้ม', ' ', 'แป้ง', 'นุ่ม', 'หนึบ', 'หนับ', 'รสชาติ', 'ละมุน', 'กลมกล่อม', ' ', 'ไส้', 'เลี่ยน', 'คาว', ' ', 'ทาน', 'ครอบครัว', '     ']","['#ขนมเปี๊ยะไข่เค็มลาวา', '#แต้วณฐพร', '#บุพเพสันนิวาส2', '#ดีเจมะตูม']"
2021-02-01,"['กิน', 'ป๊อบ', 'คอร์น', 'รอ', '  ']",['#ดีเจมะตูม']
2021-02-01,"['ค่า', 'าา', '  ', 'เคส', ' ', 'Airpods', ' ', 'ธรรมดา', ' ', 'ราคา', ' ', '119', ' ', 'บาท', 'ชิ้น', ' ', '+', ' ', 'ค่า', ' ', '39', ' ', 'บาท', ' ', 'สินค้า', 'มีจำกัด', 'นะคะ', '          ']","['#เคสairpods', '#เคสแอร์พอด', '#สินค้าพร้อมส่ง', '#ของน่ารักๆ', '#ของขวัญวาเลนไทน์', '#โควิดวันนี้', '#ดีเจมะตูม', '#แต้วณฐพร', '#ตลาดนัดnct', '#ตลาดนัดtreasure', '#ตลาดนัดอากาเซ', '#ฝากรีทวิต']"
2021-02-01,"['       ', 'ด่วน', ' ', '5', ' ', 'คน', ' ', 'ตอบ', 'แชท', ' ', 'ดูแล', 'ลูกค้า', ' ', 'ไม่ต้อง', 'ออฟฟิศ', '18', 'ปี', '+', 'ทัศนคติ', 'ดี', ' ', 'สื่อ', ' ', 'social', ' ', 'รายได้', ' ', '37', 'พัน', 'สัปดาห์', ' ', 'คลิก', 'ดูงาน', 'ที่นี่', '  ']","['#หางาน', '#หาเงินออนไลน์', '#งานเสริมทําที่บ้าน', '#รายได้พิเศษ', '#งานออนไลน์', '#งานพาร์ทไทม์', '#รายได้เสริม', '#ดีเจมะตูม']"
2021-02-01,"[' ', 'ศิลปากร']",['#ดีเจมะตูม']
2021-02-01,"['เปิดเทอม', ' ', 'เรียนรู้', 'ปกป้อง', 'ปลอดภัย', 'หน้ากาก', 'อนามัย', 'ทางการแพทย์', ' ', 'รง', 'ไทย', ' ', 'Mind', ' ', 'maskSURELUCKY', ' ', 'เด็ก', 'ผู้ใหญ่', 'Let', ' ', ' ', 'care', ' ', 'Ketkham', '                   ']","['#โควิด19', '#โควิด', '#หน้ากากอนามัย', '#โควิดวันนี้', '#ดีเจมะตูม', '#เปิดเรียน', '#เปิดเทอม', '#บุพเพสันนิวาส2']"
2021-02-01,"['にきび洗顔バルクレール', '           ', '＃ツイッター', ' ']","['#にきび', '#ニキビ', '#ニキビ一緒に治そう', '#洗顔', '#ดีเจมะตูม', '#素のまんま', '#ていねいな暮らし', '#俺の話を聞け', '#教えて中の人', '#朝活', '#早起きチャレンジ', '#副業', '#Twitter', '#twitter仲間募集']"
2021-02-01,"['ปัง', ' ', 'ฮะ', '  ', 'ตร', 'เผย', '  ', 'เช่า', ' ', '3', ' ', 'ห้อง', 'ร้านอาหาร', ' ']",['#ดีเจมะตูม']
2021-02-01,"['555555555555555555555555555555555555555555', '  ']",['#ดีเจมะตูม']
2021-02-01,"['เปิดเทอม', ' ', 'เรียนรู้', 'ปกป้อง', 'ปลอดภัย', 'หน้ากาก', 'อนามัย', 'ทางการแพทย์', ' ', 'รง', 'ไทย', ' ', 'Mind', ' ', 'maskSURELUCKY', ' ', 'เด็ก', 'ผู้ใหญ่', 'Let', ' ', ' ', 'care', ' ', 'Ketkham', '                   ']","['#โควิด19', '#โควิด', '#หน้ากากอนามัย', '#โควิดวันนี้', '#ดีเจมะตูม', '#เปิดเรียน', '#เปิดเทอม', '#รัฐประหาร']"
2021-02-01,"['ข่าว', ' ', 'ห้อง', 'สูท', 'แร้ว', 'ปาร์ตี้', ' ', 'แร้ว', 'ทำ', 'หรอ', 'อ่ะ', 'ฮะ', ' ', 'อ่ะ', 'ฮะ', 'ลิงค์', 'ข่าว', 'ด่าน', 'ล่าง', 'เรย', '     ']","['#ดีเจมะตูม', '#ดีเจมะตูมติดโควิด', '#โควิด', '#โควิด19', '#ม๊อบ2กุมภา']"
2021-02-01,"['           ', '\xa0', '     ']","['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#50m2', '#ดีเจมะตูม', '#BTSV', '#VaathiComingVideoSong']"
2021-02-01,"['สวัสดี', 'ตอนเช้า', 'งับ', ' ', 'medimask', ' ', '1', 'กล่อง', ' ', '125', ' ', ' ', '35', ' ', 'บวก', ' ', '15', ' ', 'บาท', '  ', 'เด็ม', 'โล้', 'ด', '             ']","['#หน้ากากอนามัยราคาถูก', '#medimask', '#หน้ากากอนามัยราคาถูก', '#หน้ากากอนามัยทางการแพทย์', '#ดีเจมะตูม', '#โควิด19', '#โควิดวันนี้', '#ตำรวจไทยขยะสังคม', '#รัฐประหาร', '#ม็อบ1กุมภา', '#พฤติการณ์ที่ตายEP11', '#saveMyanma']"
2021-02-01,"['เปิดเทอม', ' ', 'เรียนรู้', 'ปกป้อง', 'ปลอดภัย', 'หน้ากาก', 'อนามัย', 'ทางการแพทย์', ' ', 'รง', 'ไทย', ' ', 'Mind', ' ', 'maskSURELUCKY', ' ', 'เด็ก', 'ผู้ใหญ่', 'Let', ' ', ' ', 'care', ' ', 'Ketkham', '                  ']","['#โควิด19', '#โควิด', '#หน้ากากอนามัย', '#โควิดวันนี้', '#ดีเจมะตูม', '#เปิดเรียน', '#เปิดเทอม']"
2021-02-01,"['           ', '\xa0', '     ']","['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#50m2', '#ดีเจมะตูม', '#BTSV', '#VaathiComing', '#방탄소년단']"
2021-02-01,"['        ', '\xa0', '    ']","['#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#WALLS350M', '#WALLS350M', '#WALLS350M']"
2021-02-01,"['           ', '\xa0', '  ']","['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir']"
2021-02-01,['              '],"['#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#WALLS350M', '#WALLS350M', '#WALLS350M']"
2021-02-01,"['กลุ่มคน', 'คน', 'เค้า', 'ขึ้นชื่อว่า', 'ดารา', 'จิตสำนึก', 'สักที', ' ', 'ดารา', 'ก้อ', 'อวย', 'เก่ง', 'งั้น', 'ถาม', 'เวลา', 'เค้า', 'โดน', 'ด่า', 'เค้า', 'หาร', '    ']","['#แต้วณฐพร', '#ดีเจมะตูม']"
2021-02-01,"['        ', '\xa0\xa0', '  ']","['#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir']"
2021-02-01,"['            ', '\xa0', '     ']","['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir', '#50m2', '#ดีเจมะตูม', '#BTSV', '#VaathiComingVideoSong']"
2021-02-01,"[' ', 'คริสเตียน', '  ']",['#ดีเจมะตูม']
2021-02-01,['         '],"['#ตลาดนัดอากาเซ่', '#ตลาดนัดENHYPEN', '#ดีเจมะตูม', '#ตลาดนัดไฮคิว', '#ตลาดนัดIZONE', '#ตลาดnct', '#ตลาดนัดบังทัน', '#ตลาดนัดเด็กสมบัติ', '#ตลาดนัดstraykids']"
2021-02-01,"['にきび洗顔バルクレール', '           ', '＃ツイッター', ' ']","['#にきび', '#ニキビ', '#ニキビ一緒に治そう', '#洗顔', '#ดีเจมะตูม', '#素のまんま', '#ていねいな暮らし', '#俺の話を聞け', '#教えて中の人', '#朝活', '#早起きチャレンジ', '#副業', '#Twitter', '#twitter仲間募集']"
2021-02-01,"['สำนัก', 'สนใจ', 'การกระทำ', 'บุคคล', 'รับผิดชอบ', 'สังคม', '   ']","['#แต้วณฐพร', '#ดีเจมะตูม']"
2021-02-01,"['     ', 'ลูกค้า', 'ถาม', 'ประ', 'กัม', 'คุ้มครอง', 'โควิด', 'ไหม', 'ชุด', 'คุ้มครอง', 'หลัก', 'ล้าน', ' ', 'เบี้ยประกัน', 'หลัก', 'พัน', '     ']","['#ม็อบ1กุมภา', '#รัฐประหาร', '#โควิท19', '#ดีเจมะตูม', '#โควิด', '#ประกันสุขภาพ', '#ที่คุ้มครองโควิดทันทีไม่ต้องนับวันรอคอย30วัน', '#ประกันชีวิต', '#ประกันสุขภาพ', '#ชับบ์ไลฟ์ประกันชีวิต']"
2021-02-01,"['ดีเจ', 'มะตูม', ' ', 'โดน', 'ขุด', '  ', 'โกหก', 'ประวัติ', 'การศึกษา', ' ', 'จบ', ' ', 'ม', ' ', ' ', 'เพื่อน', 'รุ่น', 'หน้า', '   ']","['#ดีเจมะตูม', '#kapook', '#ข่าวบันเทิง']"
2021-02-01,"['           ', '\xa0', '  ']","['#WALLS350M', '#WALLS350M', '#50m2', '#ดีเจมะตูม', '#VaathiComing', '#방탄소년단', '#ล้านแตกเลยไหมยังไง', '#AttackOnTitan', '#BuenosDias', '#COVID19', '#BTSArmy', '#Dynamite', '#ElPeorGobiernoDeLaHistoria', '#JISOO', '#KAI', '#LoveIsInTheAir']"
