Date,Text,Hashtag
2021-02-01,"['เน็ต', ' ', 'สมัคร', 'โปร', 'เล่น', ' ', 'อห', 'พรุ่งนี้', 'เรียน', ' ', 'หอบ', 'สังขาร', ' ', 'wifi', 'บ้าน', 'ญาติ', ' ', 'แย่', '   ']","['#dtac', '#เน็ตห่วย', '#ดีแทค']"
2021-02-01,"['อิ', 'ควาย', ' ', 'เน็ต', 'มุง', 'ล่ม', 'หรอ']",[]
2021-02-01,"[' ', 'เน็ต', 'แย่', ' ', 'บริการ', 'แย่', ' ', 'โคตร', 'ห่วย', 'คำบรรยาย']",['#ดีแทค']
2021-02-01,"['  ', ' ', '๓', ' ', 'ถ้วน', ' ']",[]
2021-02-01,"[' ', 'ผม', 'มาย', ' ']",[]
2021-02-01,"[' ', '55555']",[]
2021-02-01,"[' ', 'แง', 'งง', 'งง', 'งง', 'งง', 'งเช่', 'ร้า', 'กอ้ะะะะะะะ', ' ', 'บ้าน', 'คนใช้', ' ', ' ', 'ทรู', 'น้อง', ' ', 'ย้าย', 'ค่าย', 'ค่า', 'าาา', ' ', '555555555555555555']",[]
2021-02-01,"['ย้าย', 'ค่าย', 'แน่', 'รีบ']",[]
2021-02-01,"[' ', 'เด', 'ว', 'ความอดทน', ' ', 'หวย', ' ', 'ซ่า', 'กะ', 'ซ่า']",[]
2021-02-01,"['เน็ต', '\u200b', '\u200b', 'กาก', 'ชิป', 'หาย']",[]
2021-02-01,"['บ้ง', ' ']",[]
2021-02-01,"['755', ' ', 'แท็ก', ' ', 'MV', ' ', '10', ' ', 'โมง', ' ', '1200', ' ', 'ไลฟ', 'เมจิก', 'ตาราง', 'งาน', 'จุก']",[]
2021-02-01,"['dtac', ' ', 'ท้า', 'พิสูจน์', ' ', '700', ' ', 'MHz', ' ', 'ตอบ', 'โจทย์', 'คลื่น', 'แรง', 'อ่อน', ' ', '3000', ' ', 'สถานี', 'ฐาน', ' ', 'ให้บริการ', 'รูปแบบ', ' ', 'DSS', ' ', ' ', '4', 'G', ' ', ' ', '5', 'G', '    ']","['#Dtac5G', '#ดีแทค', '#700MHz']"
2021-02-02,"['สัญญาณ', 'แม่', 'ง', 'ห่วย', 'บรรยาย', ' ']",['#ดีแทค']
2021-02-02,['สุดยอด'],[]
2021-02-02,"[' ', 'ม้า', 'ค', 'จ่าย', 'ค่า', 'เน็ต', ' ', ' ', ' ', '19', ' ', 'บาท']",[]
2021-02-02,"[' ', 'อ๋อย', 'ย\u200b', ' ', '\u200b', ' ', 'ดี', ' ']",[]
2021-02-02,"['หงุดหงิด', 'เน๊ต', ' ']",[]
2021-02-02,"['โคตร', 'กาก', 'อี', 'สัสส', ' ', ' ', 'อี', 'เหี้ย', 'ย', ' ', 'ทั้งวัน', ' ', 'กลับบ้าน', 'เจอ', 'ไวไฟ', 'เอไอเอส', ' ', 'เวง', 'เอ้ย', 'ยย', ' ', 'ชีวิต', 'ต']",[]
2021-02-02,"['ค่าย', 'จิง', 'สิ', ' ', 'กาก', 'จิง', ' ', 'โทร', 'สับ']",[]
2021-02-02,"['อย่า', 'บู้บี้', ' ', 'น้อง', '1', 'น้อง', 'เก่ง', ' ', 'น้อง', 'ดี', 'ตรงไหน', 'หรอ', ' ', 'อย่า', 'บูล', 'ลี่', '\u200b', 'น้อง']",[]
2021-02-02,"['รีวิว', 'ซิม', 'ค่าย', ' ', ' ', ' ', 'เอไอเอส', ' ', 'เน็ต', 'ดี', ' ', 'ไหว', 'ทรู', 'าา']",[]
2021-02-02,"[' ', 'วี', 'โว่', ' ', 'เครือข่าย', ' ', 'มือซ้าย', 'เมจิ', 'โยเกิร์ต', 'มือขวา', 'น้ำผลไม้', 'ทิป', 'โก้', ' ', 'บำรุง', 'หน้า', 'ลา', 'เนจ', ' ', '5555555', '   ']","['#warwanarat', '#yinyin_anw']"
2021-02-02,"['โปร', 'ราคา', 'เอ', 'ไอ', 'เอ้', 'ด', ' ', 'เน้ต', ' ', 'ลึก', 'กุ', 'รัก']",[]
2021-02-02,"['ถาม', 'ราคา', 'มือถือ', '3', 'ร้าน', ' ', 'ไอ', 'สตู', ' ', 'ทรู', ' ', ' ', 'สรุป', 'ชนะเลิศ', 'บริการ', 'ดีมาก', 'บอ', 'ซื้อ', 'ซื้อ', 'พี่', 'พี่', 'ส่วนลด']",[]
2021-02-02,"['หยิ่น', 'วอร์', 'รับงาน', 'รัว', ' ', 'ลา', 'เนจ', ' ', 'เมจิ', ' ', 'ทิป', 'โก้', ' ', ' ', 'วี', 'โว่', ' ', ' ', 'cate', ' ', ' ', '555555']",[]
2021-02-02,"['อยากได้', 'ฟตบ', '555555555']",[]
2021-02-02,"['อ่ะ', ' ', 'หยิ่น', 'วอร์', ' ', 'ถ่าย', ' ', ' ', ' ', 'สตอ', 'รี่', ' ', ' ', 'Vivo', '\u200b', 'Y', '31', '\u200b', ' ', 'ย', ' ', 'โปรโมชั่น', 'ดี', ' ', 'พลาด', 'ใง', '  ']","['#warwanarat', '#yinyin_anw', '#vivoY31']"
2021-02-02,"[' ', 'Vivo', ' ', 'Y', '31', ' ', ' ', '3190', ' ', 'ฟรี', 'ประกัน', ' ', 'COVID', '19', '  ', 'วันที่', ' ', '2', ' ', 'กพ', ' ', '64', ' ', '–', ' ', '28', ' ', 'กพ', ' ', '64', '  ', 'คลิก', '      ']","['#dtac', '#ดีแทค', '#vivo', '#VivoY31', '#ครบดีถูกเช็กดีแทค']"
