Date,Text,Hashtag
2021-02-02,"['EFM', ' ', 'อังคาร', 'คลุมโปง', ' ', 'คืนนี้', ' ', 'แจ็ค', ' ', 'The', ' ', 'Ghost', ' ', 'Radio', ' ', '2', ' ', 'กพ', '2564', ' ', 'l', ' ', 'AtimeO', '  ', ' ']",[]
2021-02-02,"['EFM', ' ', 'อังคาร', 'คลุมโปง', ' ', 'คืนนี้', ' ', 'แจ็ค', ' ', 'The', ' ', 'Ghost', ' ', 'Radio', ' ', '2', ' ', 'กพ', '2564', ' ', 'l', ' ', 'AtimeO', '  ', ' ']",[]
2021-02-02,"[' ', 'คืนนี้', 'หลอน', '  ', 'ที่มา', 'เล่า', '  ', 'หน้า', 'ไมค์', ' ', 'รับสาย', 'หลอน', 'ทางบ้าน', 'โทร', 'เข้ามา', 'เล่า', 'จุก', ' ', 'สัปดาห์', 'หน้า', ' ', 'วิทย์', ' ', 'พชรพล', ' ', 'วิทย์', ' ', 'AF', '1', ' ', 'ที่มา', 'เล่าเรื่อง', 'หลอน', 'ประสบการณ์', ' ', 'ที่นี่', '  ']","['#อังคารคลุมโปง', '#แจ็คTheGhostRadio', '#เรื่องหลอน', '#คลื่นวิทยุอีเอฟเอ็ม94']"
2021-02-02,"['EFM', ' ', 'อังคาร', 'คลุมโปง', ' ', 'คืนนี้', ' ', 'แจ็ค', ' ', 'The', ' ', 'Ghost', ' ', 'Radio', ' ', '2', ' ', 'กพ', '2564', ' ', 'l', ' ', 'AtimeO', '  ', ' ']",[]
2021-02-02,"[' ', ' ', ' ', ' ', 'EFM', ' ', 'อังคาร', 'คลุมโปง', ' ']","['#เป๊กผลิตโชค', '#PeckPaLitChoke']"
2021-02-02,"['EFM', ' ', 'อังคาร', 'คลุมโปง', ' ', 'คืนนี้', ' ', 'แจ็ค', ' ', 'The', ' ', 'Ghost', ' ', 'Radio', ' ', '2', ' ', 'กพ', '2564', ' ', 'l', ' ', 'AtimeO', '  ', ' ']",[]
2021-02-04,"['ผู้หญิง', 'จูบ', 'ผู้หญิง', ' ', 'ผู้หญิง', 'จูบ', 'ไหล่', '    ', 'แผ่น', ' ', 'มีแนวโน้ม', 'ที่จะ', 'ศีลธรรม', 'ดี', ' ', ' ', 'ชช', 'จูบ', 'เกลื่อน', 'ช่อง', '   ', ' ', 'ผญ', ' ', 'จูบ', 'ไหล่', 'ศิล', 'ธรรม', '  ', 'กุ', 'บ้า', 'ตาย', '     ']","['#อังคารคลุมโปง', '#อังคารคลุมโปงTheseriesEP3']"
2021-02-04,"['เดือด', 'ลั่น', 'โซเชียล', '  ', 'ซีรีส์', ' ', 'อังคาร', 'คลุมโปง', ' ', 'ตัดฉาก', 'ผู้หญิง', 'จูบ', ' ', 'ชี้', ' ', 'ศีลธรรม', '  ']","['#อังคารคลุมโปงTheseriesEP3', '#อังคารคลุมโปง', '#LGBTQ']"
2021-02-05,"['ดีเจ', 'เอิร์น', ' ', 'งง', ' ', 'ผิดศีลธรรม', '  ', 'ตัดฉาก', 'เลิฟ', 'ซีน', 'ผู้หญิง', ' ', 'อังคาร', 'คลุมโปง', ' ', '  ']","['#อังคารคลุมโปงTheSeriesEp3', '#อังคารคลุมโปง', '#ดีเจเอิร์น']"
2021-02-05,"['ตรงไหน', 'รู้', '  ', 'ดีเจ', 'เอิร์น', ' ', 'ฉงน', 'ตัดฉาก', 'แลก', 'จูบ', 'ผู้หญิง', ' ', 'ซีรีส์', ' ', 'ตอน', ' ', 'มือที่สาม', '             ']","['#new18', '#นิว18', '#newtv', '#นิวทีวี', '#อังคารคลุมโปง', '#มือที่สาม', '#เลสเบี้ยน', '#หญิงรักหญิง', '#ทอมดี้', '#ฉากเลิฟซีน', '#เลิฟซีน', '#ซีรีส์ผี', '#สยองขวัญ']"
