Date,Text,Hashtag
2021-02-01,"[' ', 'ประชาชน', ' ', '2', ' ', ' ', '3', ' ', 'รู้', ' ', 'วิธี', 'เช็ค', 'สิทธิ', 'รับเงิน', ' ', '7000', ' ', 'บาท', ' ', ' ', 'www', 'ชนะ', 'com', ' ', 'รับเงิน', '   ']","['#เราชนะ', '#เป๋าตัง', '#กรุงเทพธุรกิจ', '#กรุงเทพธุรกิจออนไลน์']"
2021-02-01,"['ชนะ', ' ', 'ลงทะเบียน', ' ', 'www', 'ชนะ', 'com', ' ', 'วง', 'เงินช่วยเหลือ', 'ค่าครองชีพ', ' ', '7000', ' ', 'บาท', ' ', '2', ' ', 'แอปพลิเคชั่น', 'ชนะ', ' ', 'แอ', 'ปฯ', 'เป๋า', 'ตัง', ' ', 'แอ', 'ปฯ', 'ถุงเงิน', ' ', 'ทำ', ' ', 'ขั้นตอน', 'สมัคร', ' ', 'วิธี', 'ใช้งาน', ' ', 'เช็ก', 'ที่นี่', '    ']","['#เราชนะ', '#เป๋าตัง', '#ถุงเงิน']"
2021-02-01,"['ชนะ', ' ', 'ลงทะเบียน', ' ', 'www', 'ชนะ', 'com', ' ', 'วง', 'เงินช่วยเหลือ', 'ค่าครองชีพ', ' ', '7000', ' ', 'บาท', ' ', '2', ' ', 'แอปพลิเคชั่น', 'ชนะ', ' ', 'แอ', 'ปฯ', 'เป๋า', 'ตัง', ' ', 'แอ', 'ปฯ', 'ถุงเงิน', ' ', 'ทำ', ' ', 'ขั้นตอน', 'สมัคร', ' ', 'วิธี', 'ใช้งาน', ' ', 'เช็ก', 'ที่นี่', '    ']","['#เราชนะ', '#เป๋าตัง', '#ถุงเงิน']"
2021-02-01,"['อี', 'แอพ', 'เป๋า', 'ตัง', 'ขยัน', 'อัพเดต', 'อัพเดต', 'เหมือน', 'เด', 'ิ', 'งง', 'อัพเดต', 'เม', 'ม', 'เต็ม', 'หรอ', ' ']",['#เป๋าตัง']
2021-02-01,"['รู้', ' ', 'บช', 'กรุงไทย', 'ผูก', 'เป๋า', 'ตัง', 'โอน', 'เงิน', 'Gwallet', ' ', 'ปกติ', 'โอน', 'krungthai', ' ', ' ', '55555', ' ', 'แง้', 'ขอบคุณ', 'ตัวเอง', 'ผูก', 'บช', ' ', 'เงินสด', 'ติดตัว', ' ', 'อด', 'กินข้าว', '   ']","['#กรุงไทยล่ม', '#เป๋าตัง', '#คนละครึ่ง']"
2021-02-01,"['เติม', 'เงิน', 'เป๋า', 'ตัง', 'เงิน', ' ', 'ตัด', 'เงิน', 'แล้วด้วย', ' ', 'วะ', '  ']","['#เป๋าตัง', '#scbล่ม']"
2021-02-01,"['เติม', 'เงิน', 'แอพ', ' ', 'ตัด', 'เงิน', ' ', 'เงิน', '  ']","['#scbล่ม', '#เป๋าตัง']"
2021-02-01,"['เงิน', 'แอ', 'ป', ' ', 'รอ', 'นะคะ', ' ', 'เ', 'เจ้ง', '  ', 'คน', 'คอย', 'ใจจะขาด', '   ']","['#เป๋าตัง', '#scbล่ม']"
2021-02-01,"['เติม', 'เงิน', ' ', 'เป๋า', 'ตัง', ' ', 'เงิน', ' ', 'ใร', ' ', 'เงิน', '  ']","['#เป๋าตัง', '#เราชนะ']"
2021-02-01,"['ว', ' ', 'อิ', 'เหี้ย', ' ', 'อัพเดท', 'ใช้ไม่ได้', ' ', 'เด้ง', ' ', 'ลบ', 'โหลด', 'สแกน', 'ห', ' ', 'โง่', 'เพื่อน', ' ']",['#เป๋าตัง']
2021-02-01,"['เติม', 'เงิน', 'เป๋า', 'ตัง', ' ', 'เงิน', 'ออกจาก', 'ธนาคาร', 'เป๋า', 'ตัง', ' ', 'อี', 'เวน', '  ']","['#เป๋าตัง', '#scbล่ม']"
2021-02-01,"['เติม', 'เงิน', '  ', 'เงิน', ' ']","['#SCB', '#เป๋าตัง']"
2021-02-01,"['เติม', 'เงิน', 'เงิน', ' ', 'ฮื้อ', 'กินข้าว', ' ', 'คน', 'เติม', 'scb', 'เห', 'มื่อน', 'ไหม', ' ']",['#เป๋าตัง']
2021-02-02,"['สุ', 'ระ', 'ชัย', ' ', 'เอี่ยม', 'วชิร', 'สกุล', ' ', 'ผู้อำนวยการ', 'องค์', 'การขนส่งมวลชน', 'กรุงเทพ', ' ', 'เผย', ' ', 'เตรียม', 'จำหน่าย', 'บัตร', 'โดยสาร', 'ล่วงหน้า', 'อิเล็กทรอนิกส์', 'สิทธิ์', 'โครงการ', ' ', '“”', ' ', 'ซื้อ', 'แอปพลิเคชัน', ' ', '“”', ' ', ' ', 'จุด', 'จำหน่าย', ' ', 'สัญลักษณ์', ' ', '“', 'ชนะ', '”', ' ', ' ', '30', ' ', ' ', ' ', '18', ' ', 'กพ', '  ', '31', ' ', 'พค', ' ', '2564', ' ']","['#เราชนะ', '#เป๋าตัง']"
2021-02-02,"[' ', 'รถเมล์', '  ', 'สำหรับ', 'สิทธิ์', 'ชนะ', ' ', 'ซื้อ', 'บัตร', 'โดยสาร', 'ล่วงหน้า', 'อิเล็กทรอนิกส์', 'ประเภท', ' ', 'แอปพลิเคชัน', '  ', ' ', 'จุด', 'จำหน่าย', 'แนบ', 'รูป', ' ', ' ', '18', ' ', 'กุมภาพันธ์', ' ', ' ', '31', ' ', 'พฤษภาคม', 'สอบถาม', 'รายละเอียด', '  ']","['#เราชนะ', '#ขสมก', '#เป๋าตัง']"
2021-02-02,"[' ', 'สนับสนุน', 'นโยบาย', 'รัฐบาล', 'ช่วยเหลือ', 'ผู้ให้บริการ', 'ขนส่ง', 'สาธารณะ', ' ', 'ลงทะเบียน', 'โครงการ', ' ', '“', 'ชนะ', '”', 'ฐานะ', 'ร้านค้า', 'ช่องทาง', 'โอกาส', 'ประกอบอาชีพ', 'ลงทะเบียน', 'เว็บไซต์', ' ', 'www', 'ชนะ', 'com', ' ', 'วันที่', ' ', '29', ' ', 'มกราคม', '  ', '31', ' ', 'มีนาคม', ' ', '2564', '     ']","['#กรมเจ้าท่า', '#กระทรวงคมนาคม', '#เราชนะ', '#เป๋าตัง', '#เรือโดยสาร']"
2021-02-02,"[' ', 'เปิดรับ', 'มีสิทธิ์', ' ', 'โครงการ', ' ', '“', 'ชนะ', '”', ' ', 'ซื้อ', 'บัตร', 'โดยสาร', 'ล่วงหน้า', 'อิเล็กทรอนิกส์', ' ', 'ประเภท', ' ', 'แอปพลิเคชัน', ' ', '“', 'เป๋า', 'ตัง', '”', ' ', 'วันที่', ' ', '18', ' ', 'กพ', ' ', '–', ' ', '31', ' ', 'พค', '64', '     ']","['#ขสมก', '#กระทรวงคมนาคม', '#รถเมล์', '#เราชนะ', '#เป๋าตัง']"
2021-02-02,"['โครงการ', 'วัคซีน', 'ไข้หวัดใหญ่', 'โหลด', 'แอพ', '  ', 'ควย', 'วะ', 'เนี้ยย']",['#เป๋าตัง']
2021-02-02,"['ไข', 'ข้อสงสัย', '  ', 'ซื้อ', 'ทอง', 'ไหม', '   ']","['#เราชนะ', '#เป๋าตัง', '#kapook']"
2021-02-02,"['สแกน', 'หน้า', 'สำเร็จ', ' ', 'ข้อมูล', 'ธนาคาร', ' ', 'โปรด', 'ธนาคาร', 'พ่อ', 'ไหว', ' ', 'ทำ', '   ']","['#คนละครึ่ง', '#เป๋าตัง', '#เราชนะ']"
2021-02-02,"['อัพเดท', 'เป๋า', 'ตัง', ' ', 'สอง', ' ', 'หมุนติ้ว', ' ', 'มั่ง']",['#เป๋าตัง']
2021-02-04,"['  ', 'วงเงิน', 'แอ', 'ป', '  ', 'พฤหัสบดี', ' ', '18', ' ', 'กพ', '25', ' ', 'ค', ' ', '64', ' ', '6', ' ', ' ', ' ', '7000', ' ', 'บาท', ' ', 'ใช้ได้', ' ', '31', ' ', 'พค', ' ', '641', ' ', '18', ' ', 'กพ', ' ', '64', ' ', '=', ' ', '2000', ' ', 'บาท', '2', ' ', '25', ' ', 'กพ', ' ', '64', ' ', '=', ' ', '1000', ' ', 'บาท', '3', ' ', '4', ' ', 'ค', ' ', '64', ' ', '=', ' ', '1000', ' ', 'บาท', '4', ' ', '11', ' ', 'ค', ' ', '64', ' ', '=', ' ', '1000', ' ', 'บาท', '5', ' ', '18', ' ', 'ค', ' ', '64', ' ', '=', ' ', '1000', ' ', 'บาท', '6', ' ', '25', ' ', 'ค', ' ', '64', ' ', '=', ' ', '1000', ' ', 'บาท', ' ']","['#เราชนะ', '#เป๋าตัง']"
2021-02-04,"['6', 'โมง', 'ไมา', 'ซิ', '    ']","['#เราชนะ', '#เป๋าตัง', '#คนละครึ่ง']"
2021-02-04,"['โมโห', 'ส้นตีน', ' ', 'เหี้ย', 'หละ', ' ', 'ดู', 'เป๋า', 'ตัง', 'หู', 'สัส', ' ', 'เสือก', 'ข้อมูล', 'มั่ว', 'อี', 'เหี้ย', 'โมโห', 'ว่ะ', '   ']","['#เราชนะ', '#เป๋าตัง']"
2021-02-04,"['อยากได้', 'เงินสด', ' ', 'รวมตัวกัน', 'เรียกร้อง', ' ', 'มีสิทธิ์', 'ต้องการ', 'เงินสด', 'ใช้จ่าย', 'สะดวก', 'แต่ละคน', '   ']","['#เยียวยาโควิด', '#เราชนะ', '#เป๋าตัง']"
2021-02-04,"['ตรวจสอบ', 'สถานะ', '  ', 'สิทธิ์', ' ', 'ลุ้น', '  ']","['#คนละครึ่ง', '#เป๋าตัง']"
2021-02-04,"['ดำเนิน', 'การตาม', 'มาตรการ', 'รัฐบาล', 'ขอความร่วมมือ', ' ', 'ผู้โดยสาร', 'ลงทะเบียน', 'โครงการ', ' ', '“', 'ชนะ', '”', ' ', 'ชำระ', 'ค่าโดยสาร', 'รถไฟฟ้า', 'บีทีเอส', ' ', 'รถไฟฟ้า', 'สาย', 'สี', 'ทอง', ' ', 'วันที่', ' ', '5', ' ', 'กุมภาพันธ์', ' ', '2564', ' ', '   ']","['#เราชนะ', '#เป๋าตัง']"
