Date,Text,Hashtag
2021-02-01,"['wwwcom', ' ', 'คลัง', ' ', 'ลงทะเบียน', 'ชนะ', 'สิทธิ์', 'เงิน', ' ', '7000', ' ', 'บาท']","['#เราชนะ', '#ฐานเศรษฐกิจ']"
2021-02-01,"['ฝา', 'กร้าน', 'นวด', 'แผน', 'ไทย', 'แม่', 'นะคะ', 'แม่', 'บอ', 'งาน', ' ', 'ร้าน', 'ป', 'นิ', 'ตา', 'นวด', 'แผน', 'ไทย', ' ', ' ', 'ทุ่ง', 'สร้าง', 'จ', 'ขอนแก่น', ' ', 'เบอร์', 'ติดต่อ', ' ', '0646624632', ' ', 'ป', 'นิ', 'ตา', '  ', 'ขอบคุณ', 'นะคะ', '      ']","['#ทวิตดีคนรีน้อย', '#รีวิวขอนแก่น', '#ทีมมข', '#เราชนะ', '#ไทยชนะ', '#รีวิวร้านนวด']"
2021-02-01,"['เติม', 'เงิน', ' ', 'เป๋า', 'ตัง', ' ', 'เงิน', ' ', 'ใร', ' ', 'เงิน', '  ']","['#เป๋าตัง', '#เราชนะ']"
2021-02-01,"['ลงทะเบียน', 'ชนะ', 'ยอด', 'พุ่ง', ' ', '8', ' ', 'ล้าน', '  ']","['#เราชนะ', '#ลงทะเบียนเราชนะ']"
2021-02-01,"['ลงทะเบียน', 'ชนะ', 'ยอด', 'พุ่ง', ' ', '8', ' ', 'ล้าน', ' ', 'FB', '  ', 'Line', '  ']",['#เราชนะ']
2021-02-01,"['  ', '“', ' ', '5', ' ', 'พัน', 'ล้าน', ' ', 'วอ', 'ลเล็ต', ' ', 'สบ', 'ม', ' ', 'รอ', ' ', '“', 'ชนะ', '”', ' ', ' ', '4', ' ', 'ธนาคาร', 'ตัวแทน', 'วันที่', ' ', '5', ' ', 'กพ', ' ']","['#พันธบัตร', '#เราชนะ']"
2021-02-01,"['กรอก', 'เเล้ว', 'นะคะ', ' ', 'เเต่', 'ระบบ', 'เเบบ', ' ', 'ลอง', 'พิมพ์', 'เเบบ', 'เดิม', ' ', 'วิธี', 'เ', 'เก้', ' ', 'บอกบุญ', '  ']",['#เราชนะ']
2021-02-01,"['ลงทะเบียน', 'โครงการ', 'ชนะ', '8', 'ล้าน', 'คน', '    ', '  ']","['#คนละครึ่ง', '#เราชนะ', '#โครงการเราชนะ']"
2021-02-01,"['“', 'ชนะ', '”', ' ', 'คน', 'ลงทะเบียน', 'ทะลุ', ' ', '8', ' ', 'ล้าน', 'คน', ' ', 'รอ', 'ตรวจสอบ', 'สิทธิ์', 'วันที่', ' ', '8', ' ', 'กพ', '   ']","['#เราชนะ', '#thejournalistclub']"
2021-02-01,"['ทุบ', 'สถิติ', ' ', 'พันธบัตร', 'ออมทรัพย์', 'พิเศษ', ' ', 'รุ่น', 'ชนะ', ' ', 'วอ', 'ลเล็ต', ' ', 'สบ', 'ม', ' ', 'จำหน่าย', 'เต็ม', 'วงเงิน', ' ', '5000', ' ', 'ล้าน', 'บาท', ' ', 'ท่าน', 'พลาด', ' ', 'ซื้อ', 'พันธบัตร', 'รุ่น', ' ', 'ชนะ', ' ', 'ธนาคาร', 'กรุงไทย', ' ', 'ธนาคาร', 'กรุงเทพ', ' ', 'ธนาคาร', 'กสิกร', 'ไทย', ' ', 'ธนาคาร', 'ไทย', 'พาณิชย์', ' ', 'วันที่', ' ', '515', ' ', 'กพ', '  ']","['#เราชนะ', '#พันธบัตรเราชนะ']"
2021-02-01,"['คลัง', 'เผย', 'ความคืบหน้า', 'โครงการ', '  ', 'ลงทะเบียน', 'วันที่', ' ', '29', ' ', 'มกราคม', ' ', '2564', ' ', 'ประชาชน', 'ลงทะเบียน', 'เว็บไซต์', ' ', '805', ' ', 'ล้าน', 'คน', ' ', ' ', 'วันที่', ' ', '1', ' ', 'กุมภาพันธ์', ' ', '2564']","['#เราชนะ', '#TheStandardWealth']"
2021-02-01,"[' ', 'เงิน', 'ชนะ', ' ', '700', ' ', 'เดิม', 'บัตร', 'สวัสดิการ', 'รัฐ', '3500', ' ', 'หรอ', ' ', 'แปล', '2800', 'หรอ', ' ', 'ตอน', 'เบิกเงิน', 'ค่าหัว', 'คนละ', '  ']","['#เราชนะ', '#คนละครึ่งเฟส2']"
2021-02-01,"['ชนะ', ' ', 'ลงทะเบียน', ' ', 'www', 'ชนะ', 'com', ' ', 'วง', 'เงินช่วยเหลือ', 'ค่าครองชีพ', ' ', '7000', ' ', 'บาท', ' ', '2', ' ', 'แอปพลิเคชั่น', 'ชนะ', ' ', 'แอ', 'ปฯ', 'เป๋า', 'ตัง', ' ', 'แอ', 'ปฯ', 'ถุงเงิน', ' ', 'ทำ', ' ', 'ขั้นตอน', 'สมัคร', ' ', 'วิธี', 'ใช้งาน', ' ', 'เช็ก', 'ที่นี่', '    ']","['#เราชนะ', '#เป๋าตัง', '#ถุงเงิน']"
2021-02-01,"['โฆษก', 'กระทรวงการคลัง', 'เผย', ' ', '4', ' ', ' ', 'ปชช', 'ลงทะเบียน', ' ', 'ชนะ', ' ', ' ', '805', ' ', 'ล้าน', 'คน', ' ', 'ตรวจสอบ', 'สิทธิ์', ' ', '8', ' ', 'กพ', '    ']","['#เราชนะ', '#FM91']"
2021-02-01,"['บัตร', 'คนจน', ' ', 'บัตร', 'สวัสดิการ', 'รัฐ', ' ', 'เตรียม', 'รับเงิน', 'ชนะ', ' ', '5', ' ', 'กพ', ' ', 'ตรวจสอบ', 'รายละเอียด', 'สิทธิ์', ' ', 'ที่นี่', '   ']","['#บัตรคนจน', '#บัตรสวัสดิการแห่งรัฐ', '#เราชนะ']"
2021-02-01,"['ลงทะเบียน', 'ได้เงิน', ' ', 'รอ', 'อดตาย', 'ได้เงิน', ' ', 'ระบบ', 'คัด', 'กรอง', 'โครงการ', ' ']",['#เราชนะ']
2021-02-01,"['ไข่', 'หา', 'ทาน', ' ', 'โลละ', ' ', '40', ' ', 'บาท', 'JampT', ' ', '60', '+', '20', ' ', 'ชาวบ้าน', 'ปลูก', ' ', 'ราคา', 'นะคะ', ' ', '1', 'โล', '10', 'หัว', 'หวาน', ' ', 'ฉ่ำ', ' ', 'หนึบ', ' ', 'อร่อย', 'กก', 'พรุ่งนี้', 'ะ', '        ']","['#มันหวาน', '#ขายของออนไลน์', '#saveปากท้องคนไทย', '#ทวิตดีคนรีน้อย', '#อร่อยบอกต่อ', '#ลดน้ําหนัก', '#โควิด19', '#เราชนะ']"
2021-02-01,"['ขาย', ' ', 'พันธบัตร', 'ชนะ', ' ', 'เริ่มต้น', ' ', '100', ' ', 'บาท', ' ', 'วงเงิน', ' ', '6', ' ', 'หมื่น', 'ล้าน', 'บาท', '    ']","['#พันธบัตรเราชนะ', '#เราชนะ', '#พันธบัตร', '#พันธบัตรออมทรัพย์', '#ออมทรัพย์']"
2021-02-01,"['สอบถาม', 'เเม่', 'ลงทะเบียน', 'กรอง', 'นามสกุล', 'เเต่', 'ลอง', 'ลงทะเบียน', 'เเล้ว', 'เหรอ', 'ตอบ', '    ']","['#เราชนะ', '#เราเที่ยวด้วยกัน', '#คนละครึ่ง']"
2021-02-01,"['ขาย', ' ', '5000', ' ', 'ล้าน', 'บาท', ' ', 'พันธบัตร', 'ออมทรัพย์', 'วอ', 'ลเล็ต', ' ', 'สบ', 'ม', 'รุ่น', '“', 'ชนะ', '”', ' ', 'รอ', ' ', 'พันธบัตร', 'ออมทรัพย์', 'พิเศษ', ' ', '“', 'ชนะ', '”', ' ', 'ที่จะ', 'จำหน่าย', ' ', '4', ' ', 'ธนาคาร', 'ตัวแทน', ' ', 'วันที่', ' ', '5', ' ', 'กพ', '  ']","['#พันธบัตรออมทรัพย์', '#เราชนะ']"
2021-02-01,"[' ', 'คน', 'ข้อมูล', 'คนละ', 'ครึ่ง', ' ', ' ', 'อยากรู้', ' ', 'หมายเลข', 'บัตร', 'แอพ', 'เป๋า', 'ตัง', ' ', 'สแกน', 'หน้า', ' ', 'ข้อมูล', 'บัตร', 'มาจาก', 'ใหน']",['#เราชนะ']
2021-02-01,"['บัตร', 'คนจน', ' ', 'บัตร', 'สวัสดิการ', 'รัฐ', ' ', 'เตรียม', 'รับเงิน', 'ชนะ', ' ', '5', ' ', 'กพ', ' ', 'ตรวจสอบ', 'รายละเอียด', 'สิทธิ์', ' ', 'ที่นี่', '   ']","['#บัตรคนจน', '#บัตรสวัสดิการแห่งรัฐ', '#เราชนะ']"
2021-02-01,"['e', '        ']","['#كوفيد_19', '#เราชนะ', '#dogecoin', '#طرابلس_عاصمة_الشرفاء', '#وش_وظيفتك_بالعايله', '#اليوم_العالمي_للنساء', '#نبيه_بري', '#ببجي', '#يوم_الجمعة']"
2021-02-01,['        '],"['#كوفيد_19', '#เราชนะ', '#dogecoin', '#طرابلس_عاصمة_الشرفاء', '#وش_وظيفتك_بالعايله', '#اليوم_العالمي_للنساء', '#نبيه_بري', '#ببجي', '#يوم_الجمعة']"
2021-02-01,"['ชนะ', ' ', 'ลงทะเบียน', ' ', 'www', 'ชนะ', 'com', ' ', 'วง', 'เงินช่วยเหลือ', 'ค่าครองชีพ', ' ', '7000', ' ', 'บาท', ' ', '2', ' ', 'แอปพลิเคชั่น', 'ชนะ', ' ', 'แอ', 'ปฯ', 'เป๋า', 'ตัง', ' ', 'แอ', 'ปฯ', 'ถุงเงิน', ' ', 'ทำ', ' ', 'ขั้นตอน', 'สมัคร', ' ', 'วิธี', 'ใช้งาน', ' ', 'เช็ก', 'ที่นี่', '    ']","['#เราชนะ', '#เป๋าตัง', '#ถุงเงิน']"
2021-02-01,"['เยียวยา', 'โควิด', 'เปราะบาง', ' ', 'เร่ง', 'เงื่อนไข', 'ขยายเวลา', ' ', 'กองทุน', 'กู้ยืม', 'ฉุกเฉิน', ' ', 'ดอกเบี้ย', ' ', 'คน', 'ค้ำ', ' ', 'วงเงิน', ' ', '1', ' ', 'หมื่น', 'บาท', ' ', 'แนะ', 'แนวทาง', 'ช่วยเหลือ', 'สิทธิ', 'ลงทะเบียน', 'ชนะ', ' ', 'www', 'ชนะ', 'com', '  ']","['#กลุ่มเปราะบาง', '#เราชนะ']"
2021-02-01,"['www', 'ชนะ', 'com', ' ', 'ลงทะเบียน', ' ', '12', ' ', 'กพ', ' ', 'คลัง', ' ', 'ตอบ', 'ชัด', 'ประชาชน', 'ผลกระทบ', 'คัด', 'กรอง', 'คุณสมบัติ', ' ', 'รับเงิน', 'เยียวยา', ' ', '7000', ' ', 'บาท', ' ']",['#เราชนะ']
2021-02-01,"[' ', 'ประชาชน', ' ', '2', ' ', ' ', '3', ' ', 'รู้', ' ', 'วิธี', 'เช็ค', 'สิทธิ', 'รับเงิน', ' ', '7000', ' ', 'บาท', ' ', ' ', 'www', 'ชนะ', 'com', ' ', 'รับเงิน', '   ']","['#เราชนะ', '#เป๋าตัง', '#กรุงเทพธุรกิจ', '#กรุงเทพธุรกิจออนไลน์']"
2021-02-01,"['ย้ำ', ' ', 'wwwcom', ' ', 'ลงทะเบียน', ' ', '12', ' ', 'กพ', ' ', 'จำกัด', 'จำนวน', 'ผู้รับ', 'สิทธิ์', ' ', 'เงิน', 'เยียวยา', '7000', 'บาท']","['#เราชนะ', '#ลงทะเบียนเราชนะ', '#ฐานเศรษฐกิจ']"
2021-02-01,['                  '],"['#piazzapulita', '#Renzi', '#LunaLlena', '#LunaDeLobo', '#LunaRossa', '#NapoliSpezia', '#ForzaNapoliSempre', '#كوفيد_19', '#เราชนะ', '#dogecoin', '#طرابلس_عاصمة_الشرفاء', '#وش_وظيفتك_بالعايله', '#اليوم_العالمي_للنساء', '#نبيه_بري', '#ببجي', '#يوم_الجمعة_دعاء_للميت']"
2021-02-01,"['ใส่', 'ชื่อ', 'กลาง', ' ', 'sms', ' ', 'ลงทะเบียน', 'ไหม', ' ']",['#เราชนะ']
2021-02-01,"['พันธบัตร', 'ออมทรัพย์', ' ', '“', 'ชนะ', 'วอ', 'ลเล็ต', ' ', 'สบ', 'ม”', ' ', 'เกลี้ยง', ' ', '5', ' ', 'พัน', 'ล้าน', 'บาท', ' ', '8', ' ', 'ชม', '    ']","['#พันธบัตรออมทรัพย์', '#เราชนะ']"
2021-02-02,"['www', 'ชนะ', 'com', ' ', 'คำถาม', 'ร้านค้า', 'โครงการ', 'ชนะ', ' ', 'เช็ก', 'ที่นี่', '  ', 'FB', '  ', 'Line', '  ']","['#เราชนะ', '#มาตรการเยียวยา']"
2021-02-02,"['กระทรวงการคลัง', 'เตรียม', 'แจก', 'เงิน', 'เยียวยา', 'ชนะ', ' ', 'บัตร', 'สวัสดิการ', 'รัฐ', ' ', '14', ' ', 'ล้าน', 'คน', ' ', 'งวด', 'บัตร', 'วันที่', ' ', '5', ' ', 'กพ', ' ', '64', ' ', 'เงิน', 'โอน', 'เงิน', 'ศุกร์', 'วงเงิน', '    ']","['#ThaiPBS', '#ทันข่าวเด่น', '#เราชนะ']"
2021-02-02,"['www', 'ชนะ', 'com', ' ', 'ตอบ', 'ข้อสงสัย', ' ', 'ประชาชน', 'ร้านค้า', ' ', 'สิทธิ์', 'ชนะ', ' ', 'ม้วน', 'จบ', ' ', 'ผู้ใช้', 'ผู้รับ', ' ', 'FB', '  ', 'Line', '  ']",['#เราชนะ']
2021-02-02,"['Me', ' ', 'aburro', '      ', 'Gulf', ' ', 'Morning', ' ', 'Morning', ' ', 'Cherprang', ' ', 'MrQueen', ' ', 'BTOB', '    ', 'Good', ' ', 'Mewning', ' ', 'Robinhood', ' ', 'REQUEST', ' ', 'Liverpool', ' ', 'Diluc', '  ', 'The', ' ', 'Show', ' ']","['#เราชนะ', '#702ศุกร์ฟ้าคว้าสุข', '#คิดถึงเติร์ดนะค๊าบบบ', '#1MessagetoPROMPAYY', '#อวยพรจมทมไปเกาหลี']"
2021-02-02,"['ชนะ', ' ', 'สแกน', 'จ่าย', 'ค่า', 'รถเมล์', ' ', 'ทำ', 'เช็ก', 'ที่นี่', '  ']",['#เราชนะ']
2021-02-02,"['ฝาก', ' ', 'รัฐบาล', ' ', 'เงิน', 'เยียวยา', ' ', 'ที่จะ', 'แจก', '  ', 'ทำ', 'เงินสด', ' ', 'จ่าย', 'แอพ', ' ', 'ฉลาด', 'ดิ', ' ', 'ควรจะ', 'จ่าย', 'ค่า', ' ', 'ค่า', 'บริโภค', ' ', 'แจก', 'แจก', ' ', 'เยียวยา', 'ตรงไหน', ' ', ' ', 'จ่าย', 'ค่าน้ำค่าไฟ', 'ค่ารถ', 'ค่า', 'บ้าน', 'สิ', ' ', ' ']",['#เราชนะ']
2021-02-02,"[' ', 'อาการ', 'แบบนี้', 'ปวดหลัง', 'ขวา', ' ', 'ปวด', 'บั้นท้าย', 'เอว', 'ขวา', ' ', 'ปวด', 'ขา', 'ขวา', ' ', 'เวลา', 'ปจด', ' ', 'ปวดท้อง', 'ปวด', ' ', 'ท้อง', 'ขวา', 'ก้อน', ' ', 'กด', 'เจ็บ', 'ไปหา', 'หมอ', ' ', 'หมอ', 'ท้องอืด', 'อืด', '  ']","['#เราชนะ', '#อาร์มี่รูม', '#ไว้รีวิวห้ามขายของโว้ยย']"
2021-02-02,"[' ', 'ของแท้', ' ', ' ', 'ส่งต่อ', '250', '฿', ' ', 'ซื้อ', '390', ' ', ' ', 'รับน้อง', 'ค่า', 'ท', '          ']","['#บูชชี่', '#bootchywhite', '#ส่งต่อสกินแคร์', '#ส่งต่อเสื้อผ้า', '#คสอเกาหลี', '#ไว้รีวิวห้ามขายของโว้ยย', '#HowtoPerfect', '#โควิด19', '#เราชนะ', '#ดีเจมะตูม']"
2021-02-02,"['รบกวน', 'ถาม', 'ตัวตน', 'ครั้งแรก', ' ', 'เลข', '0', 'หรอ', 'เติม', 'เงิน', 'หรอ', ' ', 'คนละ', 'ครึ่ง', '    ']","['#คนละครึ่ง', '#เราชนะ', '#คนละครึ่งเฟส2']"
