Date,Text,Hashtag
2021-02-01,"['สอบถาม', 'เเม่', 'ลงทะเบียน', 'กรอง', 'นามสกุล', 'เเต่', 'ลอง', 'ลงทะเบียน', 'เเล้ว', 'เหรอ', 'ตอบ', '    ']","['#เราชนะ', '#เราเที่ยวด้วยกัน', '#คนละครึ่ง']"
2021-02-01,"['InterContinental', ' ', 'Pattaya', ' ', 'Resort', '  ', '“', 'เที่ยว', '”', ' ', '𝙀𝙨𝙘𝙖𝙥𝙚', ' ', 'amp', ' ', '𝙐𝙣𝙬𝙞𝙣𝙙', ' ', '𝘽𝙧𝙚𝙖𝙠', ' ', 'Start', ' ', 'THB', ' ', '3900', ' ', 'Net', ' ', 'After', ' ', 'Discount', ' ', 'THB', ' ', '2340', ' ', 'Net', ' ', 'Stay', ' ', '30', ' ', 'Jun', ' ', '2021', ' ', 'Book', ' ', 'By', ' ', '28', ' ', 'Feb', '\xa0', '2021', ' ']",[]
2021-02-02,"['แบบนี้', 'ลงทะเบียน', ' ', 'ทำ', '  ']",['#เราเที่ยวด้วยกัน']
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['Smell', ' ', ' ', 'sea', ' ', ' ', 'feel', ' ', ' ', 'sky', ' ', 'Let', ' ', ' ', 'soul', ' ', ' ', 'spirit', ' ', 'fly', '  ', 'Van', ' ', 'MorrisonPhoto', ' ', 'courtesy', '  ', 'Ruengkul', '            ']","['#เราเที่ยวด้วยกัน', '#คิดแล้วไปให้ถึง', '#ภูเก็ตเด็ดทั้งเกาะ', '#ไทยเที่ยวไทย', '#batokbay', '#sunset', '#theracha', '#kohrachayai', '#phuket', '#thailand', '#amazingthailand', '#amazingplaces']"
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เครดิต', ' ', '2500', ' ', 'บาท', ' ', 'บุฟเฟต์', 'อาหารเย็น', 'โปร', 'คนละ', ' ', '2398', ' ', 'บาท', ' ', ' ', '1980', ' ', 'บาท', ' ', ' ', 'คูปอง', '  ', 'ส่วนลด', ' ', 'ห้องอาหาร', ' ', 'NEXT', ' ', '2', ' ', 'บุฟเฟต์', 'ซี', 'ฟู้ด', 'อ', 'ลัง', ' ', 'Canadian', ' ', 'Lobsters', ' ', 'Alaskan', ' ', 'King', ' ', 'Crab', ' ', ' ', 'ติดใจ', 'กลับเป็น', 'อาหาร', 'อินเดีย', ' ', 'อร่อย', ' ', 'พนักงาน', 'ให้บริการ', 'ดีมาก', ' ']",['#เราเที่ยวด้วยกัน']
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"[' ', 'องค์กรเอกชน', 'แถลง', 'ด่วน', 'กู้', 'วิกฤต', 'ศรัทธา', ' ', 'โกง', 'เที่ยว', 'หนัก', 'ในประเทศ', ' ', ' ', '1000', ' ', 'ล้าน', '  ', ' ', '1', ' ', 'โกง', '    ']","['#ชัยภูมิ', '#โกง', '#เราเที่ยวด้วยกัน', '#ท่องเที่ยว']"
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['ตร', 'เร่ง', 'สอบ', 'ทุจริต', '  ', '9800', 'คน', ' ', 'โรงแรม', 'ร้านค้า', ' ', '900', ' ']",['#เราเที่ยวด้วยกัน']
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['InterContinental', ' ', 'Koh', ' ', 'Samui', ' ', 'Resort', '  ', '“', 'เที่ยว', '”', ' ', 'Flash', ' ', 'Sale', ' ', '22', ' ', 'Stay', ' ', '2', ' ', 'nights', ' ', ' ', ' ', '1', ' ', 'night', ' ', 'FREE', ' ', 'Weekday', ' ', 'Start', ' ', 'After', ' ', 'Discount', ' ', 'THB', ' ', '1919', ' ', 'Net', ' ', 'Stay', ' ', 'To', ' ', '31', ' ', 'Mar', ' ', '2021', ' ', 'Book', ' ', 'By', ' ', '4', ' ', 'Feb', ' ', '2021', ' ', '48', '\xa0', 'Hour', ' ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
2021-02-02,"['เที่ยว', '  ', 'Droidsans', ' ', 'The', ' ', 'First', ' ', 'Android', ' ', 'Community', ' ', ' ', 'Thailand', '  ']",[]
