Date,Text,Hashtag
2021-02-01,"['รอบ', 'เช้ามืด', 'YouTube', ' ', 'Premium', ' ', 'เมล', 'เดิม', ' ', 'เมล', 'เดือน', ' ', 'เดือน', '60', 'บาท', ' ', 'โปร', 'เดือน', '50', '฿', 'น', 'ด', 'น', ' ', 'ว่าง', '1', 'เด้อ', 'รับน้อง', 'จอ', 'คับ', ' ', 'เมล', 'ตัวเอง', ' ', 'ตำ', '   ']","['#หารYouTubePremium', '#หารyoutube', '#หารยูทูปพรีเมี่ยม', '#แต้วณฐพร']"
2021-02-01,"['วงการ', 'บันเทิง', 'ไทย', 'ขาย', 'กลวง', ' ', 'ในขณะที่', ' ', 'นสด', ' ', 'ประเทศ', 'ขาย', 'ฝีมือ', ' ', 'ขาย', 'สุดยอด', 'บท', ' ', 'ดารา', 'ไทย', 'ขาย', 'เรื่องส่วนตัว', ' ', 'ฝีมือ', ' ', 'กระแส', ' ', 'เลิก', 'ค่า', 'ซัก', '   ']","['#แต้วณัฐพร', '#แต้วณฐพร']"
2021-02-01,"['สน', ' ', 'H', ' ', 'สน', ' ', 'T', ' ', 'ใด', ' ', 'ลอยหน้าลอยตา', '  ', 'เค้า', 'เค้า', ' ', 'ดู', 'เปลี่ยนไป', ' ', 'ดู', ' ', 'น่ารัก', '  ']",['#แต้วณฐพร']
2021-02-01,"['𝐘𝐨𝐮𝐓𝐮𝐛𝐞', ' ', '𝐏𝐫𝐞𝐦𝐢𝐮𝐦', ' ', '𝟑𝟎', ' ', '𝐝𝐚𝐲𝐬', 'เมล', 'ตัวเอง', ' ', '7', '฿', ' ', '5', 'เมล', 'ร้าน', '   ', '15', '฿', 'เมล', '   ', '60', '฿', 'ฟังเพลง', 'ออกจาก', 'หน้าจอ', ' ', 'โฆษณา', 'คั่น', 'คู่', 'Youtube', ' ', 'Music', ' ', '      ']","['#หารยูทูปพรีเมี่ยมราคาถูก', '#ยูทูปพรีเมี่ยม', '#หารYouTubePremiumราคาถูก', '#youtubepremium', '#แต้วณฐพร', '#บุพเพสันนิวาส2']"
2021-02-01,"['𝐘𝐨𝐮𝐓𝐮𝐛𝐞', ' ', '𝐏𝐫𝐞𝐦𝐢𝐮𝐦', ' ', '𝟑𝟎', ' ', '𝐝𝐚𝐲𝐬', 'เมล', 'ตัวเอง', ' ', '7', '฿', 'เมล', '   ', '60', '฿', 'ฟังเพลง', 'ออกจาก', 'หน้าจอ', ' ', 'โฆษณา', 'คั่น', 'คู่', 'Youtube', ' ', 'Music', ' ', '       ']","['#หารยูทูปพรีเมี่ยมราคาถูก', '#ยูทูปพรีเมี่ยม', '#หารYouTubePremiumราคาถูก', '#youtubepremium', '#แต้วณฐพร', '#เนเน่', '#สนับสนุนเลื่อนเปิดเทอม']"
2021-02-01,"['หก', 'ต', ' ']",['#แต้วณฐพร']
2021-02-01,"['แต้ว', ' ', 'เมิน', 'ดราม่า', 'กักตัว', 'ทิพย์', ' ', 'อวด', 'ภาพ', ' ', 'ไฮโซ', 'ณัย', ' ', 'ข้าว', 'บ้าน', ' ', 'ชีวิต', 'แฮปปี้', '   ']","['#แต้วณฐพร', '#kapook']"
2021-02-01,"['ขนม', 'เปี๊ยะ', 'ลาวา', ' ', 'พุธ', ' ', '◡̈︎️', 'Best', ' ', 'seller', ' ', 'ลูก', 'ฝ่ามือ', ' ', 'ลูก', 'อิ่ม', 'คุ้ม', ' ', 'แป้ง', 'นุ่ม', 'หนึบ', 'หนับ', 'รสชาติ', 'ละมุน', 'กลมกล่อม', ' ', 'ไส้', 'เลี่ยน', 'คาว', ' ', 'ทาน', 'ครอบครัว', '     ']","['#ขนมเปี๊ยะไข่เค็มลาวา', '#แต้วณฐพร', '#บุพเพสันนิวาส2', '#ดีเจมะตูม']"
2021-02-01,"['𝐕𝐈𝐔', ' ', '𝐏𝐫𝐞𝐦𝐢𝐮𝐦', '      ', '30', '       ', '30', '฿', 'สาย', 'วาไรตี้', ' ', 'ซี', 'รี่', 'ย์', ' ', 'หนัง', ' ', 'เร', 'ีลย', 'ลิ', 'ตี้', ' ', ' ', 'ไทย', ' ', 'จีน', ' ', 'เกาหลี', ' ', 'ฮ่องกง', ' ', 'ดู', 'HD', 'โฆษณา', 'คั่น', 'รี', '+ฟอล', ' ', 'ลด', '2', '฿', '          ']","['#หารViu', '#หารviupremium', '#หารviuราคาถูก', '#หารapplemusic', '#หารviuพรีเมี่ยม', '#TrueBeautyEp14', '#MrQueenEp16', '#แต้วณฐพร']"
2021-02-01,"['𝐘𝐨𝐮𝐓𝐮𝐛𝐞', ' ', '𝐏𝐫𝐞𝐦𝐢𝐮𝐦', ' ', '𝟑𝟎', ' ', '𝐝𝐚𝐲𝐬️', 'เมล', 'ตัวเอง', ' ', '7', '฿', 'เมล', '   ', '60', '฿', 'ฟังเพลง', 'ออกจาก', 'หน้าจอ', ' ', 'โฆษณา', 'คั่น', 'คู่', 'Youtube', ' ', 'Music', ' ', '       ']","['#หารยูทูปพรีเมี่ยมราคาถูก', '#ยูทูปพรีเมี่ยม', '#หารYouTubePremiumราคาถูก', '#youtubepremium', '#แต้วณฐพร', '#เนเน่', '#สนับสนุนเลื่อนเปิดเทอม']"
