Date,Text,Hashtag
2021-02-01,"['สธ', 'ย้ำ', 'เลี่ยง', 'งานเลี้ยง', 'เพื่อนสนิท', ' ', 'ห่วง', 'บรรยากาศ', ' ', 'ดื่ม', 'ป้องกัน', 'ตัวเอง', 'ลดลง', ' ', 'เสี่ยง', 'ติด', 'โควิด', '\xa0', '  ']","['#ข่าววันนี้', '#NationTV', '#โควิด19']"
2021-02-01,"['กลัว', 'โควิด', ' ', 'ถาม', ' ', 'หน้ากาก', 'อนามัย', 'ใส่', ' ', 'เชื้อโรค', 'ใส่', ' ', ' ', 'ถอด', 'ใส่', 'ทั้งวัน', ' ', 'เดิม', '   ']","['#ล้างมือบ่อยแค่ไหน', '#โควิด19', '#COVID19']"
2021-02-01,"[' ', 'คุม', 'มีปัญหา', '   ']","['#โควิด', '#โควิด19', '#ระยอง']"
2021-02-01,"['กรมสรรพากร', ' ', 'ยกเว้น', 'ภาษีมูลค่าเพิ่ม', 'ส่วนหนึ่ง', 'แก้ปัญหา', 'สถานการณ์', ' ', 'COVID', '19', ' ', 'อ่าน', ' ', 'gtgt', '      ']","['#สายด่วน1111', '#กรมสรรพากร', '#COVID19', '#โควิด19']"
2021-02-01,"['อัปเดต', ' ', '1', ' ', 'กุมภาพันธ์', ' ', '2564', '  ', 'จ', 'ระยอง', 'คุม', 'เข้ม', '   ', 'คลาย', 'ล็อก', ' ', '100', '   ', 'นั่ง', 'รับประทาน', 'อาหาร', 'ร้าน', 'เวลา', ' ', '2100', ' ', 'น', '  ', 'ห้าม', ' ', 'จำหน่าย', 'บริโภค', ' ', 'เครื่องดื่ม', 'แอล', 'กอ', 'ฮอลล์', 'ร้านอาหาร', '        ']","['#โควิด19', '#ระยอง', '#FM91']"
2021-02-01,"['พรุ่ง', 'ง', 'ยาย', 'กุ', 'ฉีดยา', 'ป้องกัน', '\u200b', ' ', '\u200b', ' ', 'หรอ', 'วะ', 'แม่', 'กุ', 'ถ่าย', 'บัตรประชาชน', 'ฉีดยา', 'ยาย', '\u200b', ' ', 'อายุ', 'ยาย', '85', 'ปี']",['#โควิด19']
2021-02-01,"['  ', 'พักใหญ่', ' ', 'สกิ', 'ลการ', 'เลือก', 'ซื้อ', 'อาหาร', 'กลับบ้าน', 'ปลอดภัย', 'เป็นเรื่อง', 'รู้', '  ']",['#โควิด19']
2021-02-01,"['เกาะติด', 'ไทม์', 'ไลน์', 'คลัสเตอร์', 'ติดเชื้อ', 'โควิด', 'มหาสารคาม', '   ', 'FB', '  ', 'Line', '  ']","['#COVID19', '#โควิด19', '#มหาสารคาม']"
2021-02-01,"[' ', '–', ' ', 'พ่อค้า', ' ', 'หวย', ' ', 'ดวง', 'เฮง', ' ', '12', ' ', 'ล้าน', ' ', 'ขายไม่ออก', '   ']","['#อุบลราชธานี', '#หวย', '#เลขเด็ด', '#โควิด19']"
2021-02-01,"['ค้าบ', 'บบบ', ' ', 'หน้ากาก', 'อนามัย', 'สี', 'เขียว', ' ', 'Yamada', ' ', 'ยามา', 'ดะ', ' ', '1', ' ', 'กล่อง', '50', ' ', 'ชิ้น', ' ', 'กล่อง', ' ', '85', ' ', 'บาท', '  ', 'กรอง', 'หนา', ' ', '3', ' ', 'ชั้น', ' ', 'ใส่', 'อึดอัด', ' ', 'ค่า', ' ', '50', ' ', 'บาท', ' ', 'JampT', 'รีวิว', 'ขาย', ' ', 'tag', '      ']","['#รีวิวphatwook', '#โควิด', '#โควิด19', '#หน้ากากอนามัย', '#หน้ากากอนามัยพร้อมส่ง']"
